site_no,estimates,statistic,p.value,null.value,alternative,data.name,method,parameter,conf.int,conf.int2
01144000,0.000578241253618235,1.30491781182832,0.191920835377182,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000350283379387301,0.0013769313921073
01151500,0.000892266057619188,1.70643098469858,0.0879278657899547,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000149283229015969,0.00188727957545503
01152500,0.000152523822026585,0.618999474841641,0.5359167048477,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000408743708458149,0.000719925788758897
01154500,-0.000151953293424692,-0.819756061276768,0.412355183890253,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000507425099780411,0.00023418189675855
01161000,0.000206052235695346,0.987053216639374,0.323616550765968,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000167364977115003,0.000600930767918534
01162000,-0.0000645932541393636,-0.317864595188951,0.75058764974237,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000466232609712428,0.000453155130560775
01162500,-0.0000394391135392611,-0.0669188621450423,0.94664629687619,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000728870496124959,0.000596366857825409
01163200,0.000200959977641364,0.953593785566852,0.340289302637846,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000247254478620375,0.000705443042176165
01166500,-0.0000800524711940337,-0.451702319479035,0.651483447052109,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0004904490432348,0.00033159460619825
01169000,-0.000974902495320456,-1.45548525165467,0.145534970276369,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00206623314442186,0.000307107083319256
01169900,-0.000436892113766424,-0.669188621450423,0.503375163703577,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00178286209139064,0.00119561122898257
01170100,-0.000400133046289479,-0.652458905914162,0.514105174538706,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00160171468732711,0.000610831152400285
01170500,0.000129330121780689,0.836485776813028,0.402881674992069,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000238147675061274,0.000474817241486461
01171500,0.000721605269187113,1.20453951861076,0.228381117309063,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000442994000680943,0.00204590998838631
01173500,-0.000728951218388081,-2.59310590812039,0.00951134759684831,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00124280806013618,-0.0001792986508108
01174500,-0.000682352165371708,-1.6562418380898,0.0976728536695284,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00162934526587336,0.000196673942036766
01177000,-0.000529121657353,-2.44253846829404,0.0145843752103146,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000905512318148734,-0.000100942666918364
01181000,-0.00128431210932454,-1.57259326040849,0.115813029236007,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00274376671363703,0.000420205656784882
01183500,0.000180382964624689,0.535350897160338,0.592407237522452,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000456655069210533,0.000734934799256706
01184000,0.000263254126176263,1.57259326040849,0.115813029236007,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0000898601653523308,0.0005514472748422
01185500,-0.00048391527727909,-1.37183667397337,0.170114287657054,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0012370085209345,0.000178231329992649
01187300,-0.000127639636006375,-0.150567439826345,0.880316947769583,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00177532302686126,0.00117515948091053
01196500,0.000161087328424092,0.451702319479035,0.651483447052109,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000607093864550201,0.000963570760314378
01197000,-0.000424486752632153,-0.786296630204247,0.431693726220145,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0013556754277318,0.0006172995448364
01197500,0.000112446390092125,0.468432035015296,0.639475663584923,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00029989142031111,0.000613578651230275
01200500,-0.000322926050920776,-1.42202582058215,0.155018755312122,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000673507764881192,0.0000938371355472086
01205500,-0.002402890710514,-4.31626660835523,0.0000158690298603104,0,two.sided,trend_timeSeries,Sen's slope,50,-0.003872520989173,-0.00149868904914189
01208500,0.000578090481968547,2.09121444203257,0.0365088452869771,0,two.sided,trend_timeSeries,Sen's slope,50,0.0000310935511100381,0.00117677059633908
01208990,-0.000402216346397363,-0.752837199131726,0.451547750080907,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0012971002465906,0.000544474053934257
01209700,-0.000388339600428356,-0.903404638958071,0.366311178847137,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00143200963044027,0.000605519124131667
01305000,-0.000228962309579255,-2.19159273525013,0.02840892697893,0,two.sided,trend_timeSeries,Sen's slope,50,-0.000406315445655664,-0.0000344912026323715
01305500,-0.00112770991589745,-5.28659010945834,0.000000124617443604005,0,two.sided,trend_timeSeries,Sen's slope,50,-0.00142479571670258,-0.000814619340097704
01311500,-0.0278839703576967,-7.22723711166457,0.000000000000492919062960762,0,two.sided,trend_timeSeries,Sen's slope,50,-0.0319185823645957,-0.023483094903649
