site_no,tau,estimates,S,sl,p.value
01377500,0.157551,0.00150503664352321,193,0.1082623,0.108262333167264
01378500,-0.268571436,-0.00380666195577716,-329,0.006075596,0.00607559608970438
01379000,-0.41714286804,-0.00116393818518929,-511,1.989397e-5,1.98939731861538e-5
01379500,-0.4906122386456,-0.00137243963440214,-601,5.196422e-7,5.1964226051067e-7
01381000,-0.17061225,-5.47906908208879e-4,-209,0.08187826,0.0818782619216012
01381500,0.263673455,0.00113410239695902,323,0.007070899,0.00707094964859698
01383500,-0.268571436,-0.00113772535340019,-329,0.006075596,0.00607559608970438
01387500,-0.0122449,-6.23369284044963e-5,-15,0.9067745,0.90677446334059
01388000,-0.1297959,-6.31507686541857e-4,-159,0.1862856,0.186285549238115
01388500,-0.12,-5.97831522239519e-4,-147,0.221984,0.221984098056913
01389500,-0.1542857,-3.58167478966398e-4,-189,0.115813,0.115813029236007
01391500,-0.1330612,-9.38478725780356e-4,-163,0.1753835,0.175383482028116
01393450,-0.08571429,-8.89919986448998e-4,-105,0.38433033,0.384330348201332
01394500,-0.38938775659,-0.00352963436201609,-477,6.843209e-5,6.84320872803324e-5
01395000,-0.4906122386456,-0.0048623539934244,-601,5.196422e-7,5.1964226051067e-7
01396500,0.18204081,8.73011944214023e-4,223,0.06331134,0.0633113782288064
01397000,-0.03510204,-2.62588401044685e-4,-43,0.72534525,0.725345271990754
01398000,0.008979592,4.97695954107227e-5,11,0.933335781,0.933335842841861
01399500,-0.02204082,-4.35304322402001e-5,-27,0.82782936,0.827829380976393
01400000,0.05632653,4.71526766862772e-4,69,0.56948483,0.569484864788368
01400500,-0.02040816,-1.13641947896698e-4,-25,0.84088892,0.840888910748716
01401000,0.09061225,8.48597939669134e-4,111,0.35750246,0.357502553590208
01402000,-0.08408163,-4.75064399239292e-4,-103,0.39353979,0.393539813611605
01403060,-0.1004082,-4.72031851317001e-4,-123,0.3074854,0.307485394006296
01405400,0.25224489,0.00161392141466377,309,0.009984136,0.00998419538549779
01407500,0.1444898,0.00128444336080193,177,0.1409628,0.140962836913241
01407705,0.007346939,4.89852359695433e-5,9,0.946646214,0.94664629687619
01407760,0.08244898,0.00113960242185505,101,0.40288162,0.402881674992069
01408000,0.296326518,0.00189934993133434,363,0.002461195,0.0024611413612515
01408500,0.19346939,3.86450854986943e-4,237,0.04836965,0.0483696419955999
01409400,-0.22938776,-4.69467253860941e-4,-281,0.01917249,0.0191724847552231
01410000,0.03510204,7.04701112287037e-5,43,0.72534525,0.725345271990754
